name,team,salary_2016_17,salary_2017_18,salary_2018_2019,salary_2019_2020,salary_2020_21,salary_2021_22,contract_type
LeBron James,CLE,"$30,963,450","$33,285,709","$35,607,968",,,,Early Bird
Mike Conley,MEM,"$26,540,100","$28,530,608","$30,521,115","$32,511,623","$34,504,132",,Cap Space
DeMar DeRozan,TOR,"$26,540,100","$27,739,975","$27,739,975","$27,739,975","$27,739,975",,Cap Space
James Harden,HOU,"$26,540,100","$28,299,339","$30,431,854","$32,703,493",,,Bird Rights
Al Horford,BOS,"$26,540,100","$27,734,405","$28,928,710","$30,123,015",,,Cap Space
Russell Westbrook,OKC,"$26,540,100","$28,530,608","$30,670,404",,,,Bird Rights
Kevin Durant,GSW,"$26,540,100","$27,734,406",,,,,Cap Space
Dirk Nowitzki,DAL,"$25,000,000","$25,000,000",,,,,Bird Rights
Carmelo Anthony,NYK,"$24,559,380","$26,243,760","$27,928,140",,,,Bird Rights
Damian Lillard,POR,"$24,328,425","$26,153,057","$27,977,689","$29,802,321","$31,626,953",,1st Round Pick
Chris Bosh,MIA,"$23,741,060","$25,289,390","$26,837,720",,,,Bird Rights
Dwyane Wade,CHI,"$23,200,000","$23,800,000",,,,,Cap Space
Dwight Howard,ATL,"$23,180,275","$23,500,000","$23,819,725",,,,Cap Space
Chris Paul,LAC,"$22,868,828","$24,268,960",,,,,Bird Rights
Bradley Beal,WAS,"$22,116,750","$23,775,506","$25,434,263","$27,093,019","$28,751,775",,Cap Space
Anthony Davis,NOP,"$22,116,750","$23,775,506","$25,434,263","$27,093,019","$28,751,775",,1st Round Pick
Andre Drummond,DET,"$22,116,750","$23,775,506","$25,434,263","$27,093,019","$28,751,775",,Cap Space
Chandler Parsons,MEM,"$22,116,750","$23,112,004","$24,107,258","$25,102,511",,,Cap Space
Hassan Whiteside,MIA,"$22,116,750","$23,775,506","$25,434,263","$27,093,018",,,Cap Space
Harrison Barnes,DAL,"$22,116,750","$23,112,004","$24,107,258","$25,102,512",,,Cap Space
Derrick Rose,NYK,"$21,323,250",,,,,,Bird Rights
Marc Gasol,MEM,"$21,165,675","$22,642,350","$24,119,025","$25,595,700",,,Bird Rights
Kevin Love,CLE,"$21,165,675","$22,642,350","$24,119,025","$25,595,700",,,Bird Rights
DeAndre Jordan,LAC,"$21,165,675","$22,642,350","$24,119,025",,,,Bird Rights
Brook Lopez,BRK,"$21,165,675","$22,642,350",,,,,Bird Rights
Nicolas Batum,CHO,"$20,869,566","$22,434,783","$24,000,000","$25,565,217","$27,130,434",,Cap Space
LaMarcus Aldridge,SAS,"$20,575,005","$21,461,010","$22,347,015",,,,Cap Space
Blake Griffin,LAC,"$20,140,838","$21,373,950",,,,,Bird Rights
